Cod_setor,Situacao_setor,V001,V109,V110
250073405000003,8,134,0,MULHER
250073405000004,1,133,1,MULHER
250077505000001,1,225,34,MULHER
250077505000002,1,327,19,MULHER
250077505000003,8,300,0,MULHER
250077505000004,8,251,0,MULHER
250077505000005,8,147,0,MULHER
250077505000006,8,174,2,MULHER
250077505000007,5,128,0,MULHER
250077505000008,1,240,0,MULHER
250077505000009,1,264,0,MULHER
250077505000010,5,96,0,MULHER
250077505000011,5,57,0,MULHER
250080905000001,1,316,49,MULHER
250080905000002,1,270,0,MULHER
250080905000003,1,320,0,MULHER
250080905000004,1,307,0,MULHER
250080905000005,1,315,1,MULHER
250080905000006,1,262,7,MULHER
250080905000007,8,79,0,MULHER
250080905000008,8,85,0,MULHER
250080905000009,8,43,0,MULHER
250080905000010,8,43,0,MULHER
250080905000011,8,94,0,MULHER
250080905000012,8,151,0,MULHER
250080905000013,8,155,0,MULHER
250080905000014,8,165,0,MULHER
250080905000015,8,87,0,MULHER
250080905000016,8,168,0,MULHER
250080905000017,8,191,0,MULHER
250080905000018,8,93,0,MULHER
250080905000019,8,56,0,MULHER
250080905000020,8,82,0,MULHER
250080905000021,8,65,0,MULHER
250080905000022,8,87,0,MULHER
250080905000023,8,38,1,MULHER
250080905000024,8,181,0,MULHER
250080905000025,8,36,0,MULHER
250080905000026,8,127,0,MULHER
250080905000027,8,119,0,MULHER
250080905000028,8,84,0,MULHER
250080905000029,8,53,0,MULHER
250080905000030,8,25,0,MULHER
250080905000031,8,64,0,MULHER
250080905000032,5,135,0,MULHER
250080905000033,5,100,0,MULHER
250080905000034,5,121,0,MULHER
250080905000035,5,5,0,MULHER
250080905000036,1,253,0,MULHER
250080905000037,5,226,0,MULHER
250080905000038,5,16,0,MULHER
250090805000001,1,253,0,MULHER
250090805000002,1,204,69,MULHER
250090805000003,1,313,2,MULHER
250090805000004,1,301,0,MULHER
250090805000005,1,146,0,MULHER
250090805000006,1,167,0,MULHER
250090805000007,1,261,0,MULHER
250090805000008,1,142,0,MULHER
250090805000009,1,226,109,MULHER
250090805000010,8,135,0,MULHER
250090805000011,8,188,0,MULHER
250090805000012,8,128,0,MULHER
250090805000013,8,107,0,MULHER
250090805000014,8,136,0,MULHER
250090805000015,8,324,0,MULHER
250090805000016,1,203,0,MULHER
250090805000017,1,240,0,MULHER
250090805000018,1,249,2,MULHER
250090805000019,1,195,151,MULHER
250100505000001,1,284,0,MULHER
250100505000002,1,327,0,MULHER
250100505000003,1,174,0,MULHER
250100505000004,1,199,0,MULHER
250100505000005,1,296,0,MULHER
250100505000006,1,207,0,MULHER
250100505000007,1,289,0,MULHER
250100505000008,8,204,0,MULHER
250100505000009,8,101,0,MULHER
250100505000010,8,96,0,MULHER
250100505000011,8,123,3,MULHER
250100505000012,8,163,0,MULHER
250100505000013,8,153,0,MULHER
250100505000014,5,396,0,MULHER
250100505000015,8,86,0,MULHER
250100505000016,8,92,0,MULHER
250100505000017,8,177,0,MULHER
250100505000018,8,306,0,MULHER
250100505000019,5,76,0,MULHER
250100505000020,8,337,0,MULHER
250100505000021,7,76,0,MULHER
250100505000022,5,53,0,MULHER
250100505000023,5,97,0,MULHER
250100505000024,1,202,0,MULHER
250100505000025,1,292,0,MULHER
250100505000026,1,212,0,MULHER
250100505000027,1,244,0,MULHER
250110405000001,1,118,0,MULHER
250110405000002,1,187,0,MULHER
250110405000003,1,209,0,MULHER
250110405000004,1,169,0,MULHER
250110405000005,1,209,0,MULHER
250110405000006,1,169,0,MULHER
250110405000007,1,282,0,MULHER
250110405000008,1,230,0,MULHER
250110405000009,1,227,0,MULHER
250110405000010,1,143,0,MULHER
250110405000011,8,112,2,MULHER
250110405000012,8,109,0,MULHER
250110405000013,5,169,39,MULHER
250110405000014,8,52,0,MULHER
250110405000015,8,38,0,MULHER
250110405000016,8,54,0,MULHER
250110405000017,8,37,0,MULHER
250110405000018,8,33,0,MULHER
250110405000019,8,104,0,MULHER
250110405000020,8,114,0,MULHER
250110405000021,8,74,0,MULHER
250110405000022,1,16,0,MULHER
250110405000023,1,180,0,MULHER
250110405000024,1,146,0,MULHER
250110405000025,1,104,0,MULHER
250110405000026,1,157,0,MULHER
250110405000027,1,243,0,MULHER
250110405000028,1,234,0,MULHER
250110405000029,1,154,0,MULHER
250110405000030,1,197,0,MULHER
250110405000031,1,185,0,MULHER
250110410000001,1,182,0,MULHER
250110410000002,8,133,2,MULHER
