Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
250750705000916;1;86;0;0;0;0;0;0;0;1;0;1;1;0;2;0;0;1;4;5;0;3;3;2;3;3;2;4;2;2;1;1;3;2;4;2;3;0;2;2;0;2;2;0;3;1;2;0;0;0;1;0;0;0;3;0;1;1;0;1;2;0;2;1;0;0;2;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;2;3;13;12;9;12;5;6;0;2;1;3;1;1
250750705000917;1;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;2;2;0;0;2;2;2;1;0;1;2;0;0;0;2;1;1;0;1;3;1;1;0;0;0;1;0;1;0;0;2;1;0;0;1;0;1;1;0;1;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;2;5;6;6;3;6;2;3;2;3;2;3
250750705000918;1;123;0;0;0;1;1;1;1;0;0;5;4;4;5;4;3;4;8;9;4;5;7;6;5;3;6;4;4;4;1;1;2;2;1;2;0;2;3;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;116;2;7;20;30;26;13;7;5;1;1;1;3;0;0;0
250750705000919;1;110;0;0;0;0;0;0;0;1;0;0;1;2;4;3;4;2;1;3;1;3;4;4;5;3;3;5;7;3;0;3;1;2;2;3;1;2;4;2;1;2;1;1;0;1;2;2;1;1;3;1;2;3;3;1;0;1;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;1;14;9;19;14;9;8;3;6;7;4;0;0;0
250750705000920;1;70;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;2;1;1;2;1;2;0;2;2;3;1;2;1;4;2;3;5;3;0;2;0;3;2;3;2;1;0;0;2;1;0;0;0;1;1;2;1;2;0;2;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;1;3;7;9;9;12;7;3;2;4;2;1;0;0
250750705000921;1;165;0;0;0;0;0;0;1;0;0;0;0;2;2;4;1;4;2;4;4;0;6;2;5;3;6;4;2;6;4;6;8;5;8;4;9;7;4;3;5;4;2;3;3;4;1;0;1;0;1;0;3;0;3;3;1;0;0;0;2;2;1;2;1;0;2;1;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;138;0;1;9;14;21;20;28;20;10;1;6;2;5;1;0
250750705000922;1;117;0;0;2;0;0;0;2;1;2;1;3;0;3;0;3;2;4;4;5;4;6;5;6;1;4;2;4;3;3;6;3;2;1;0;5;2;4;2;2;1;1;0;2;0;0;0;1;0;1;0;1;1;2;2;1;1;0;0;1;0;0;1;1;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;2;6;8;19;22;17;10;11;3;2;5;0;1;1;0
250750705000923;1;84;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;1;2;1;1;1;4;3;0;3;2;2;0;3;2;6;4;1;1;0;4;2;1;2;3;2;1;2;0;1;5;0;1;2;1;2;0;1;0;2;2;1;0;3;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;0;0;3;6;11;9;12;11;6;8;2;5;1;2;1
250750705000924;1;88;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;3;1;1;3;1;0;2;0;2;1;2;2;6;1;2;1;2;5;3;0;2;1;2;2;1;1;1;1;2;3;1;1;3;2;0;1;1;0;0;5;4;1;1;2;1;0;0;0;0;2;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74;0;2;3;9;5;13;11;8;6;4;5;7;0;1;0
250750705000925;1;80;0;1;1;0;0;0;0;0;0;1;1;0;1;3;4;1;1;3;2;4;4;2;0;3;3;1;1;3;3;2;1;2;3;2;2;3;0;2;0;3;3;2;0;1;1;0;2;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;2;1;9;11;10;8;10;6;3;2;2;1;1;0;0
